TAG DATABASE: PHYSICAL & APPEARANCE
========================================
Total tags: 4354
Categories: 16
Last updated: 2026-02-26

================================================================================
SPECIES & BODY TYPE
================================================================================
african_wild_dog | An African wild dog species, painted coat in black, tan, and white patches. | species:canid
gold_choker | Gold-coloured choker on the character, the colour the noted variant feature. | clothing:general
gold_circlet | Gold-coloured circlet on the character, the colour the noted variant feature. | clothing:general
gold_crown | Gold-coloured crown on the character, the colour the noted variant feature. | clothing:general
gold_ear_ring | Gold-coloured ear ring on the character, the colour the noted variant feature. | clothing:general
gold_earrings | Gold-coloured earrings on the character, the colour the noted variant feature. | clothing:general
gold_hairband | A gold-coloured hairband, the metallic band holding back the hair as accessory. | hair:style
gold_jewelry | Gold-coloured jewelry on the character, the colour the noted variant feature. | clothing:general
gold_necklace | Gold-coloured necklace on the character, the colour the noted variant feature. | clothing:general
gold_piercing | Gold-coloured piercing on the character, the colour the noted variant feature. | clothing:general
gold_ring | Gold-coloured ring on the character, the colour the noted variant feature. | clothing:general
gold_shoes | Gold-coloured shoes on the character, the colour the noted variant feature. | clothing:general
gold_thighlet | Gold-coloured thighlet on the character, the colour the noted variant feature. | clothing:general
gold_tiara | Gold-coloured tiara on the character, the colour the noted variant feature. | clothing:general
gold_tooth | Gold-coloured tooth on the character, the colour the noted variant feature. | clothing:general
gold_trim | Gold-coloured trim on the character, the colour the noted variant feature. | clothing:general
goldfish | A goldfish species character, ornamental orange carp common in domestic ponds and bowls. | species:fish
grabbing_another's_ass | A character grabbing another's ass, the firm grip as the noted feature. | anatomy:rear
grabbing_another's_breast | A character grabbing another's breast, the firm grip as the noted feature. | anatomy:torso
grabbing_another's_penis | A character's hand seizing another's penis, whether firm or stroking. | genitalia:male
grabbing_own_ass | A character grabbing their own ass, the self-grip as the noted feature. | anatomy:rear
grabbing_own_breast | A character grabbing their own breast, the self-grip as the noted feature. | anatomy:torso
gradient_horns | A gradient pair of horns on the character, the horned head anatomy as the feature. | head:general
gradient_penis | A penis rendered with a colour gradient from base to tip. | genitalia:male
gradient_tail | A gradient-style tail on the character, the species-specific tail anatomy as the feature. | anatomy:tail
gradient_wings | Wings with a colour gradient from base to tip or top to bottom. | anatomy:fantasy
grass_skirt | Grass skirt, the grass skirt as the noted anatomy or body feature. | clothing:general
green_balls | Testicles rendered in green, the colour the noted variant. | genitalia:male
green_claws | Green-coloured claws on the character, the colour the noted variant feature. | anatomy:limbs
green_clothing | Green-coloured clothing on the character, the colour the noted variant feature. | clothing:general
green_coat | A green coat garment worn by the character, green outerwear the noted variant. | coat:colour
green_horn | Green-coloured horn on the character, the colour the noted variant feature. | head:general
green_horns | Green-coloured horns on the character, the colour the noted variant feature. | head:general
green_nipples | Green-coloured nipples on the character, the colour the noted variant feature. | anatomy:torso
green_pawpads | Green-coloured pawpads on the character, the colour the noted variant feature. | anatomy:limbs
green_penis | A penis rendered in green, the colour the noted variant. | genitalia:male
green_shorts | Green-coloured shorts on the character, the colour the noted variant feature. | clothing:general
green_spots | Green spots scattered across the coat or skin, the green markings the noted variant. | coat:pattern
green_stripes | Green stripes across the coat or skin, the green banded pattern the feature. | coat:pattern
green_sweater | Green-coloured sweater on the character, the colour the noted variant feature. | clothing:general
green_sweater_vest | Green-coloured sweater vest on the character, the colour the noted variant feature. | clothing:general
green_tail | Green-coloured tail on the character, the colour the noted variant feature. | anatomy:tail
green_thighhighs | Green-coloured thighhighs on the character, the colour the noted variant feature. | clothing:general
green_vulva | A vulva rendered in green, the colour the noted variant. | genitalia:female
green_wings | Wings coloured green, the feather or membrane rendered in green tone. | anatomy:fantasy
grey_balls | Testicles rendered in grey, the colour the noted variant. | genitalia:male
grey_breasts | Grey-coloured breasts on the character, the colour the noted variant feature. | anatomy:torso
grey_claws | Grey-coloured claws on the character, the colour the noted variant feature. | anatomy:limbs
grey_clothing | Grey-coloured clothing on the character, the colour the noted variant feature. | clothing:general
grey_coat | A grey coat garment worn by the character, grey outerwear the noted variant. | coat:colour
grey_feathers | Grey feathers covering the avian body, grey plumage the noted variant. | coat:colour
grey_horn | Grey-coloured horn on the character, the colour the noted variant feature. | head:general
grey_horns | Grey-coloured horns on the character, the colour the noted variant feature. | head:general
grey_nipples | Grey-coloured nipples on the character, the colour the noted variant feature. | anatomy:torso
grey_pawpads | Grey-coloured pawpads on the character, the colour the noted variant feature. | anatomy:limbs
grey_penis | A penis rendered in grey, the colour the noted variant. | genitalia:male
grey_scales | Grey scales covering the reptilian or draconic body, grey scaled colour the variant. | coat:colour
grey_sheath | A genital sheath rendered in grey, the colour the noted variant. | genitalia:male
grey_shorts | Grey-coloured shorts on the character, the colour the noted variant feature. | clothing:general
grey_spots | Grey spots scattered across the coat or skin, the grey markings the noted variant. | coat:pattern
grey_stripes | Grey stripes across the coat or skin, the grey banded pattern the feature. | coat:pattern
grey_sweater | Grey-coloured sweater on the character, the colour the noted variant feature. | clothing:general
grey_sweater_vest | Grey-coloured sweater vest on the character, the colour the noted variant feature. | clothing:general
grey_tail | Grey-coloured tail on the character, the colour the noted variant feature. | anatomy:tail
grey_thighhighs | Grey-coloured thighhighs on the character, the colour the noted variant feature. | clothing:general
grey_vulva | A vulva rendered in grey, the colour the noted variant. | genitalia:female
grey_wings | Wings coloured grey, the feather or membrane rendered in neutral tone. | anatomy:fantasy
gym_shorts | Gym shorts, the gym shorts as the noted anatomy or body feature. | clothing:general
gynomorph_anthro | An anthro character with gynomorph (feminine intersex) anatomy, mixed genitals on a furry body. | species:other
gynomorph_on_feral | A gynomorph character with a feral partner, the species and anatomy framing. | species:other
hair_between_breasts | Hair between breasts on the character, the breast feature as the noted detail. | anatomy:torso
hair_between_horns | A hair between pair of horns on the character, the horned head anatomy as the feature. | head:general
hair_flowing_over | Hair flowing over a feature like the eyes or shoulder, the cascading fall as the feature. | hair:style
hair_horns | A hair pair of horns on the character, the horned head anatomy as the feature. | head:general
hair_on_horn | A hair on horn on the character, the species-style head horn as the feature. | head:general
hair_over_breasts | Hair over breasts on the character, the breast feature as the noted detail. | anatomy:torso
hair_wings | Wings made of or emerging from the character's hair, fantasy anatomy. | anatomy:fantasy
hairless_tail | A hairless-style tail on the character, the species-specific tail anatomy as the feature. | anatomy:tail
hairy_balls | Testicles with notable hair or fuzz, the body hair on the sack emphasised. | genitalia:male
hairy_vulva | A vulva with visible pubic hair, natural growth the feature. | genitalia:female
hakama_short_skirt | Hakama short skirt, the hakama short skirt as the noted anatomy or body feature. | clothing:general
