TAG DATABASE: META, SETTING & CHARACTER
========================================
Total tags: 1434
Categories: 12
Last updated: 2026-02-26

================================================================================
SEX, GENDER & PAIRING
================================================================================
_transformation | A tag indicating a transformation into a specified gender, the gender-shift the focus. | meta:pairing
scooby-doo_(series) | Franchise/series reference: scooby-doo (series) | meta:franchise
scott_pilgrim_(series) | Franchise/series reference: scott pilgrim (series) | meta:franchise
segmented_comic | Segmented comic | meta:general
sen_no_kiseki_(series) | Franchise/series reference: sen no kiseki (series) | meta:franchise
senjou_no_valkyria_(series) | Franchise/series reference: senjou no valkyria (series) | meta:franchise
shantae_(series) | Franchise/series reference: shantae (series) | meta:franchise
shining_(series) | Franchise/series reference: shining (series) | meta:franchise
shrek_(series) | Franchise/series reference: shrek (series) | meta:franchise
shy_(series) | Franchise/series reference: shy (series) | meta:franchise
silent_comic | Silent comic | meta:general
silent_hill_(series) | Franchise/series reference: silent hill (series) | meta:franchise
silver_soul_(comic) | Silver soul (comic) | meta:general
sirjzau | Sirjzau (artist) | meta:franchise
slam_dunk_(series) | Franchise/series reference: slam dunk (series) | meta:franchise
sly_cooper_(series) | Franchise/series reference: sly cooper (series) | meta:franchise
smuttysquid | Smuttysquid (artist) | meta:franchise
sonic_(series) | Franchise reference: sonic (series) | meta:franchise
sonic_the_hedgehog_(comics) | Franchise reference: sonic the hedgehog (comics) | meta:franchise
sonic_the_hedgehog_(series) | Franchise reference: sonic the hedgehog (series) | meta:franchise
spider-man_(series) | Franchise/series reference: spider-man (series) | meta:franchise
splatoon_(series) | Franchise/series reference: splatoon (series) | meta:franchise
spongebob_squarepants_(series) | Franchise/series reference: spongebob squarepants (series) | meta:franchise
star_ocean:_the_second_story | Star Ocean: The Second Story | meta:franchise
story_at_source | Story at source URL | meta:format
story_in_description | Story in description | meta:format
street_fighter_ii_(series) | Franchise/series reference: street fighter ii (series) | meta:franchise
street_fighter_iii_(series) | Franchise/series reference: street fighter iii (series) | meta:franchise
street_fighter_iv_(series) | Franchise/series reference: street fighter iv (series) | meta:franchise
street_fighter_zero_(series) | Franchise/series reference: street fighter zero (series) | meta:franchise
superman_(series) | Franchise/series reference: superman (series) | meta:franchise
taimanin_(series) | Franchise/series reference: taimanin (series) | meta:franchise
tales_of_(series) | Franchise/series reference: tales of (series) | meta:franchise
the_witcher_(series) | Franchise/series reference: the witcher (series) | meta:franchise
to_heart_(series) | Franchise/series reference: to heart (series) | meta:franchise
top_wo_nerae!_(series) | Franchise/series reference: top wo nerae! (series) | meta:franchise
trinity_general_school_logo | Trinity General School logo | meta:franchise
troll_(mythology) | Troll (mythology) | meta:general
ultra_series | Ultra Series franchise | meta:franchise
undertale_(series) | Franchise/series reference: undertale (series) | meta:franchise
utau | UTAU vocal software | meta:franchise
violet_evergarden_(series) | Franchise/series reference: violet evergarden (series) | meta:franchise
warhammer_fantasy | Warhammer Fantasy | meta:franchise
warriors_(book_series) | Warriors book series | meta:franchise
western_comics_(style) | Western comics (style) | meta:general
world_witches_series | World Witches series | meta:franchise
xenoblade_chronicles_(series) | Franchise/series reference: xenoblade chronicles (series) | meta:franchise


================================================================================
MOVED FROM OTHER FILES - 2026-04-15
================================================================================
# Tags reclassified from other tag databases during 2026-04-15 rewrite.
# Merge into the appropriate sections above when convenient.

7th_dragon_(series) | Franchise/series reference: 7th dragon (series) | meta:franchise
absol | Pokemon species (franchise ref) | meta:franchise
absolutely_everyone | e621 internal joke tag — review | meta:tag_cleanup
abstract | An abstract visual art style, non-representational forms framing the composition. | meta:style
abstract_art | Abstract art style throughout the piece, forms and colours without representational intent. | meta:style
abstract_background | An abstract background behind the subjects, non-representational shapes framing the focal figures. | meta:style
absurdly_detailed_composition | An extremely detailed composition with every element meticulously rendered to the point of saturation. | meta:style
abyssal_ship | An Abyssal-faction ship from Kantai Collection, monster-girl naval characters. | meta:prop
adoptive_father_(lore) | The adoptive-father family relationship specifically marked as lore-level rather than physical parental tag. | meta:lore
adoptive_parent_and_adoptive_child | Adoptive parent/child pairing | meta:relationship
adult_(lore) | Adult-age status specifically marked as lore-level information in the scene's tagging. | meta:lore
adult_swim | Adult Swim network | meta:franchise
after_bathing | A scene set immediately after bathing, towels and wet hair framing. | meta:setting
ai-assisted | An AI-assisted artwork, generated or touched-up with machine-learning tools. | meta:style
airship | An airship in the scene, either prop or setting vehicle. | meta:prop
alpha_channel | PNG with transparent background | meta:format
alpha_pokemon | Alpha Pokemon variant | meta:franchise
alpha_transparency | Image with alpha transparency | meta:format
alternate_breast_size_(larger) | Alternate larger breast variant | meta:variant
alternate_breast_size_(smaller) | Alternate smaller breast variant | meta:variant
alternate_color | Alternate colour variant | meta:variant
alternate_eye_color | Alternate eye colour variant | meta:variant
alternate_hair_color | Alternate hair colour variant | meta:variant
alternate_hair_length_(shorter) | Alternate shorter hair length | meta:variant
alternate_muscle_size | Alternate muscle size variant | meta:variant
alternate_skin_color | Alternate skin colour variant | meta:variant
alternate_species | Alternate species variant | meta:variant
alternate_wings | Alternate wing variant | meta:variant
alvin_and_the_chipmunks | Alvin and the Chipmunks franchise | meta:franchise
ambient_butterfly | Ambient butterfly | meta:general
ambient_insect | Ambient insect | meta:general
ambiguous_fluids | Unidentified bodily fluids | meta:fluid
american_dragon:_jake_long | American Dragon: Jake Long franchise | meta:franchise
american_football | An American football, the prolate spheroid ball or the sport itself. | meta:prop
anime_coloring | Anime-style cel colouring with flat colour fills and crisp cel-shading. | meta:style
anthro_focus | Anthro character is the focus | meta:composition
anthro_pov | POV framing from the perspective of an anthro character, the viewer's eyes are theirs. | meta:pov
anthroponiessfm | Anthro-Ponies SFM (tool/franchise) | meta:franchise
apogee_(tinygaypirate) | Specific artist OC character | meta:character
arm_between_breasts | Arm posed between breasts | meta:composition
arm_under_breasts | Arm resting under breasts | meta:composition
arms_under_breasts | Arms resting under breasts | meta:composition
asking | Character asking something | meta:dialogue
asking_another | Asking another character | meta:dialogue
asking_viewer | Asking the viewer directly | meta:dialogue
asking_what | Asking "what?" | meta:dialogue
ass_focus | Buttocks are the visual focus | meta:composition
ass_peek | Buttocks partially visible | meta:composition
ass_visible_through_thighs | Buttocks visible between thighs | meta:composition
assassin's_creed_(series) | Franchise/series reference: assassin's creed (series) | meta:franchise
assault_lily | Assault Lily franchise | meta:franchise
assault_rifle | An assault rifle firearm, military-style long gun with magazine and scope. | meta:prop
assertive_anthro | An anthro character with an assertive personality, confidence central. | meta:role
assertive_female | A female character with an assertive personality, confidence central. | meta:role
babs_bunny | Specific character (Tiny Toons) | meta:character
