TAG DATABASE: ACTS & POSITIONS
========================================
Total tags: 1632
Categories: 10
Last updated: 2026-02-26

================================================================================
SEXUAL ACTS
================================================================================
*_sex | Wildcard placeholder for various sex acts when the specific type cannot be determined. | act:sexual
ambiguous_penetrating_maleherm | An ambiguously-gendered character penetrating a maleherm (masculine-primary hermaphrodite) partner. | act:penetration
andromorph_penetrated | An andromorph (masculine-presenting intersex) character in the receiving role during penetration. | act:penetration
andromorph_penetrating | An andromorph (masculine-presenting intersex) character in the active role during penetration. | act:penetration
andromorph_penetrating_ambiguous | An andromorph penetrating a partner of ambiguous or undetermined gender. | act:penetration
andromorph_penetrating_andromorph | Penetration between two andromorphs, both masculine-presenting intersex characters in a matched pairing. | act:penetration
andromorph_penetrating_female | An andromorph (masculine-presenting intersex) character penetrating a female partner during sex. | act:penetration
andromorph_penetrating_gynomorph | An andromorph penetrating a gynomorph partner, masculine intersex with feminine intersex. | act:penetration
andromorph_penetrating_herm | An andromorph penetrating a herm partner, the masculine intersex with the full hermaphrodite. | act:penetration
andromorph_penetrating_intersex | An andromorph penetrating an intersex partner of another configuration. | act:penetration
andromorph_penetrating_male | An andromorph (masculine-presenting intersex) character penetrating a male partner during sex. | act:penetration
andromorph_penetrating_maleherm | An andromorph penetrating a maleherm partner, both masculine-leaning intersex configurations. | act:penetration
anthro_penetrated | An anthro character in the receiving role during penetration. | act:penetration
anthro_penetrating | An anthro character in the active role during penetration. | act:penetration
anthro_penetrating_anthro | Penetration between two anthro characters, the default configuration in most furry fiction. | act:penetration
anthro_penetrating_feral | An anthro character penetrating a fully quadrupedal, non-anthro feral partner. | act:penetration
anthro_penetrating_human | An anthro character penetrating a fully human partner, species divide central to the scene. | act:penetration
anthro_penetrating_humanoid | An anthro character penetrating a humanoid (human-shaped non-human) partner. | act:penetration
anthro_penetrating_taur | An anthro character penetrating a taur (quadruped body with humanoid torso) partner. | act:penetration
female_penetrated | A female character in the receiving role during penetration. | act:penetration
female_penetrating | A female character in the active role during penetration, using a toy or strap-on. | act:penetration
female_penetrating_ambiguous | A female character penetrating an ambiguously-gendered partner, using a toy or strap-on. | act:penetration
female_penetrating_andromorph | A female character penetrating an andromorph partner using a toy or strap-on configuration. | act:penetration
female_penetrating_female | Penetration between two female characters, typically with a toy or strap-on. | act:penetration
female_penetrating_gynomorph | A female character penetrating a gynomorph partner, the female active with feminine intersex receiving. | act:penetration
female_penetrating_herm | A female character penetrating a herm partner, the female as active partner. | act:penetration
female_penetrating_intersex | A female character penetrating an intersex partner of any configuration. | act:penetration
female_penetrating_male | A female character penetrating a male partner, the gender-flipped pegging configuration. | act:penetration
female_penetrating_maleherm | A female character penetrating a maleherm partner, the female active with masculine-primary hermaphrodite receiving. | act:penetration
feral_penetrated | A fully quadrupedal feral character in the receiving role during penetration. | act:penetration
feral_penetrating | A fully quadrupedal feral character in the active role during penetration. | act:penetration
feral_penetrating_anthro | A feral character penetrating an anthro partner, the species-body contrast central. | act:penetration
feral_penetrating_feral | Penetration between two feral characters, both fully quadrupedal animal-bodied. | act:penetration
feral_penetrating_human | A fully quadrupedal, non-anthro animal character penetrating a human partner. | act:penetration
feral_penetrating_humanoid | A feral fully-quadruped animal character penetrating a humanoid partner during sex. | act:penetration
feral_penetrating_taur | A feral character penetrating a taur partner, both with animal lower bodies. | act:penetration
gynomorph_penetrated | A gynomorph (feminine-presenting intersex) character in the receiving role during penetration. | act:penetration
gynomorph_penetrating | A gynomorph (feminine-presenting intersex) character in the active role during penetration. | act:penetration
gynomorph_penetrating_ambiguous | A gynomorph penetrating a partner of ambiguous or undetermined gender. | act:penetration
gynomorph_penetrating_andromorph | A gynomorph penetrating an andromorph partner, feminine and masculine intersex configurations. | act:penetration
gynomorph_penetrating_female | A gynomorph (feminine-presenting intersex) character penetrating a female partner during sex. | act:penetration
gynomorph_penetrating_gynomorph | Penetration between two gynomorphs, both feminine-presenting intersex characters in a matched pairing. | act:penetration
gynomorph_penetrating_herm | A gynomorph penetrating a herm partner, feminine intersex with full hermaphrodite receiving. | act:penetration
gynomorph_penetrating_intersex | A gynomorph penetrating an intersex partner of another configuration. | act:penetration
